	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	duplicated
CD79A	0	1.926931408	0.875	0.009	0	B_Cells	CD79A	FALSE
PTPRCAP	0	1.459114863	0.801	0.066	0	B_Cells	PTPRCAP	FALSE
CXCR4	4.30E-121	1.156131629	0.809	0.243	1.41E-116	B_Cells	CXCR4	FALSE
CYBA	2.09E-113	1.058303093	0.977	0.626	6.86E-109	B_Cells	CYBA	FALSE
IGFBP7	0	1.897276252	0.976	0.195	0	Endothelial Cell	IGFBP7	FALSE
GNG11	0	1.694108064	0.971	0.05	0	Endothelial Cell	GNG11	FALSE
RAMP2	0	1.577944207	0.958	0.017	0	Endothelial Cell	RAMP2	FALSE
CLDN5	0	1.521591459	0.808	0.004	0	Endothelial Cell	CLDN5	FALSE
ECSCR	0	1.490003034	0.949	0.002	0	Endothelial Cell	ECSCR	FALSE
VWF	0	1.405773966	0.832	0.005	0	Endothelial Cell	VWF	FALSE
TM4SF1	0	1.330495239	0.925	0.227	0	Endothelial Cell	TM4SF1	FALSE
EGFL7	0	1.267743811	0.876	0.034	0	Endothelial Cell	EGFL7	FALSE
AC011526.1	0	1.223221981	0.852	0.002	0	Endothelial Cell	AC011526.1	FALSE
IGFBP4	0	1.195397092	0.878	0.118	0	Endothelial Cell	IGFBP4	FALSE
NNMT	0	1.187666699	0.808	0.072	0	Endothelial Cell	NNMT	FALSE
HYAL2	0	1.125751589	0.821	0.182	0	Endothelial Cell	HYAL2	FALSE
ARHGAP29	0	1.090427291	0.85	0.115	0	Endothelial Cell	ARHGAP29	FALSE
CNN3	0	1.052844947	0.876	0.196	0	Endothelial Cell	CNN3	FALSE
TGFBR2	0	1.007221556	0.812	0.145	0	Endothelial Cell	TGFBR2	FALSE
ADIRF	3.44E-253	1.322671888	0.887	0.344	1.13E-248	Endothelial Cell	ADIRF	FALSE
PERP	0	1.596286869	0.998	0.411	0	Epithelial	PERP	FALSE
DSP	0	1.565227778	0.99	0.223	0	Epithelial	DSP	FALSE
SFN	0	1.550091038	0.995	0.495	0	Epithelial	SFN	FALSE
KRT5	0	1.512873205	0.985	0.555	0	Epithelial	KRT5	FALSE
MIR205HG	0	1.48967433	0.977	0.164	0	Epithelial	MIR205HG	FALSE
LGALS7B	0	1.488630653	0.932	0.08	0	Epithelial	LGALS7B	FALSE
S100A14	0	1.481754495	0.966	0.205	0	Epithelial	S100A14	FALSE
LY6D	0	1.480464478	0.933	0.373	0	Epithelial	LY6D	FALSE
AQP3	0	1.391042117	0.956	0.271	0	Epithelial	AQP3	FALSE
FXYD3	0	1.379445504	0.981	0.226	0	Epithelial	FXYD3	FALSE
DSC3	0	1.366716672	0.963	0.092	0	Epithelial	DSC3	FALSE
DMKN	0	1.319120431	0.863	0.338	0	Epithelial	DMKN	FALSE
CXCL14	0	1.311498002	0.857	0.22	0	Epithelial	CXCL14	FALSE
S100A16	0	1.296665557	0.965	0.217	0	Epithelial	S100A16	FALSE
S100A2	0	1.267562624	0.951	0.592	0	Epithelial	S100A2	FALSE
KRT6A	0	1.261373587	0.896	0.524	0	Epithelial	KRT6A	FALSE
KRT1	0	1.239528941	0.813	0.407	0	Epithelial	KRT1	FALSE
SERPINB5	0	1.183439762	0.908	0.071	0	Epithelial	SERPINB5	FALSE
KRT16	0	1.139844697	0.915	0.579	0	Epithelial	KRT16	FALSE
KRT14	0	1.125453093	0.997	0.828	0	Epithelial	KRT14	FALSE
MT1X	0	1.118509174	0.928	0.359	0	Epithelial	MT1X	FALSE
LYPD3	0	1.115712685	0.843	0.163	0	Epithelial	LYPD3	FALSE
JUP	0	1.10049523	0.913	0.117	0	Epithelial	JUP	FALSE
CXADR	0	1.089431772	0.891	0.087	0	Epithelial	CXADR	FALSE
PKP1	0	1.079918271	0.849	0.081	0	Epithelial	PKP1	FALSE
KLF5	0	1.078664427	0.88	0.07	0	Epithelial	KLF5	FALSE
KRT10	0	1.039819997	0.956	0.643	0	Epithelial	KRT10	FALSE
EMP2	0	1.037260822	0.864	0.115	0	Epithelial	EMP2	FALSE
CLCA2	0	1.024152499	0.841	0.051	0	Epithelial	CLCA2	FALSE
SDC1	0	1.009752168	0.869	0.07	0	Epithelial	SDC1	FALSE
COL1A2	0	2.182259305	0.957	0.041	0	Fibroblast	COL1A2	FALSE
COL1A1	0	2.12568931	0.932	0.081	0	Fibroblast	COL1A1	FALSE
COL3A1	0	2.10122384	0.91	0.024	0	Fibroblast	COL3A1	FALSE
COL6A2	0	2.025238821	0.971	0.052	0	Fibroblast	COL6A2	FALSE
LUM	0	2.011515333	0.892	0.044	0	Fibroblast	LUM	FALSE
DCN	0	1.892310115	0.91	0.247	0	Fibroblast	DCN	FALSE
COL6A1	0	1.792988293	0.958	0.058	0	Fibroblast	COL6A1	FALSE
SPARC	0	1.757917191	0.963	0.172	0	Fibroblast	SPARC	FALSE
COL6A3	0	1.673456679	0.901	0.025	0	Fibroblast	COL6A3	FALSE
CPE	0	1.543486502	0.861	0.025	0	Fibroblast	CPE	FALSE
CTSK	0	1.482671796	0.881	0.081	0	Fibroblast	CTSK	FALSE
PCOLCE	0	1.478851161	0.885	0.03	0	Fibroblast	PCOLCE	FALSE
C1S	0	1.469128105	0.925	0.228	0	Fibroblast	C1S	FALSE
MMP2	0	1.46877906	0.833	0.019	0	Fibroblast	MMP2	FALSE
SELM	0	1.461152015	0.975	0.178	0	Fibroblast	SELM	FALSE
CALD1	0	1.458867205	0.984	0.388	0	Fibroblast	CALD1	FALSE
AEBP1	0	1.453675686	0.937	0.053	0	Fibroblast	AEBP1	FALSE
COL5A2	0	1.387891388	0.842	0.043	0	Fibroblast	COL5A2	FALSE
FN1	0	1.362855853	0.841	0.037	0	Fibroblast	FN1	FALSE
C1R	0	1.344755763	0.941	0.333	0	Fibroblast	C1R	FALSE
FSTL1	0	1.344171006	0.891	0.038	0	Fibroblast	FSTL1	FALSE
PRRX1	0	1.276429908	0.875	0.002	0	Fibroblast	PRRX1	FALSE
BGN	0	1.250393448	0.8	0.161	0	Fibroblast	BGN	FALSE
CFH	0	1.228715723	0.815	0.026	0	Fibroblast	CFH	FALSE
MYL9	0	1.208250618	0.802	0.053	0	Fibroblast	MYL9	FALSE
PRSS23	0	1.204888716	0.804	0.11	0	Fibroblast	PRSS23	FALSE
SERPING1	0	1.168493771	0.909	0.236	0	Fibroblast	SERPING1	FALSE
SERPINF1	0	1.125691519	0.913	0.295	0	Fibroblast	SERPINF1	FALSE
SERPINH1	0	1.073287332	0.865	0.237	0	Fibroblast	SERPINH1	FALSE
TIMP2	0	1.038576433	0.825	0.09	0	Fibroblast	TIMP2	FALSE
LGALS1	0	1.001504237	0.994	0.586	0	Fibroblast	LGALS1	FALSE
PMEL	0	2.090987087	0.996	0.076	0	Melanocyte	PMEL	FALSE
TYRP1	0	2.067191578	0.99	0.051	0	Melanocyte	TYRP1	FALSE
DCT	0	1.999260499	0.894	0.034	0	Melanocyte	DCT	FALSE
MLANA	0	1.91513692	0.966	0.037	0	Melanocyte	MLANA	FALSE
QPCT	0	1.567540617	0.994	0.162	0	Melanocyte	QPCT	FALSE
FRZB	0	1.500891197	0.902	0.018	0	Melanocyte	FRZB	FALSE
TYR	0	1.283544538	0.916	0.006	0	Melanocyte	TYR	FALSE
GPM6B	0	1.277338879	0.977	0.067	0	Melanocyte	GPM6B	FALSE
CAPN3	0	1.26750076	0.858	0.03	0	Melanocyte	CAPN3	FALSE
EDNRB	0	1.252865269	0.957	0.015	0	Melanocyte	EDNRB	FALSE
APOD	0	1.245441777	0.897	0.033	0	Melanocyte	APOD	FALSE
MITF	0	1.24380521	0.925	0.041	0	Melanocyte	MITF	FALSE
SNCA	0	1.23040519	0.98	0.112	0	Melanocyte	SNCA	FALSE
PLP1	0	1.214354038	0.913	0.004	0	Melanocyte	PLP1	FALSE
GMPR	0	1.203634373	0.932	0.02	0	Melanocyte	GMPR	FALSE
PMP22	0	1.192811356	0.969	0.109	0	Melanocyte	PMP22	FALSE
MCOLN3	0	1.144063087	0.915	0.013	0	Melanocyte	MCOLN3	FALSE
BACE2	0	1.083871432	0.935	0.135	0	Melanocyte	BACE2	FALSE
CRYAB	0	1.051751201	0.917	0.206	0	Melanocyte	CRYAB	FALSE
TRPM1	0	1.049261558	0.82	0.002	0	Melanocyte	TRPM1	FALSE
SLC24A5	0	1.023011908	0.851	0.003	0	Melanocyte	SLC24A5	FALSE
KIT	0	1.017517381	0.884	0.008	0	Melanocyte	KIT	FALSE
MFSD12	0	1.014614455	0.894	0.222	0	Melanocyte	MFSD12	FALSE
TFAP2B	0	1.000130497	0.822	0.034	0	Melanocyte	TFAP2B	FALSE
HLA-DPB1	0	1.975751389	0.991	0.458	0	Myeloid	HLA-DPB1	FALSE
HLA-DQA1	0	1.964387212	0.967	0.162	0	Myeloid	HLA-DQA1	FALSE
HLA-DPA1	0	1.95051056	0.984	0.387	0	Myeloid	HLA-DPA1	FALSE
TYROBP	0	1.905673064	0.981	0.17	0	Myeloid	TYROBP	FALSE
HLA-DRB1	0	1.869743951	0.997	0.449	0	Myeloid	HLA-DRB1	FALSE
HLA-DQB1	0	1.840501516	0.979	0.378	0	Myeloid	HLA-DQB1	FALSE
LYZ	0	1.789031299	0.83	0.21	0	Myeloid	LYZ	FALSE
HLA-DRB5	0	1.788250403	0.85	0.208	0	Myeloid	HLA-DRB5	FALSE
HLA-DRA	0	1.770714029	0.999	0.703	0	Myeloid	HLA-DRA	FALSE
AIF1	0	1.684315871	0.911	0.108	0	Myeloid	AIF1	FALSE
CD74	0	1.628401471	1	0.766	0	Myeloid	CD74	FALSE
FCER1G	0	1.61806304	0.889	0.15	0	Myeloid	FCER1G	FALSE
LST1	0	1.602449757	0.932	0.102	0	Myeloid	LST1	FALSE
HLA-DMA	0	1.547899444	0.954	0.212	0	Myeloid	HLA-DMA	FALSE
VIM	0	1.544780814	0.994	0.338	0	Myeloid	VIM	FALSE
RGS1	0	1.500442195	0.893	0.193	0	Myeloid	RGS1	FALSE
SRGN	0	1.496259808	0.917	0.21	0	Myeloid	SRGN	FALSE
MNDA	0	1.483784843	0.862	0.04	0	Myeloid	MNDA	FALSE
GPR183	0	1.475678758	0.87	0.113	0	Myeloid	GPR183	FALSE
SPI1	0	1.461537661	0.918	0.053	0	Myeloid	SPI1	FALSE
HLA-DMB	0	1.411239141	0.882	0.102	0	Myeloid	HLA-DMB	FALSE
CTSS	0	1.400507574	0.933	0.16	0	Myeloid	CTSS	FALSE
LCP1	0	1.381979223	0.925	0.101	0	Myeloid	LCP1	FALSE
RGS2	0	1.352600882	0.871	0.246	0	Myeloid	RGS2	FALSE
COTL1	0	1.320015247	0.912	0.256	0	Myeloid	COTL1	FALSE
CTSH	0	1.276519591	0.876	0.119	0	Myeloid	CTSH	FALSE
LAPTM5	0	1.267666459	0.904	0.114	0	Myeloid	LAPTM5	FALSE
S100A4	0	1.235005028	0.914	0.529	0	Myeloid	S100A4	FALSE
ITGB2	0	1.174005975	0.826	0.07	0	Myeloid	ITGB2	FALSE
PTPRC	0	1.167562889	0.896	0.087	0	Myeloid	PTPRC	FALSE
CORO1A	0	1.137423479	0.841	0.12	0	Myeloid	CORO1A	FALSE
CST3	0	1.101674341	0.994	0.868	0	Myeloid	CST3	FALSE
RGS10	0	1.093567085	0.879	0.274	0	Myeloid	RGS10	FALSE
GSN	0	1.061914794	0.904	0.606	0	Myeloid	GSN	FALSE
LSP1	0	1.000817903	0.893	0.401	0	Myeloid	LSP1	FALSE
IL32	0	1.97200856	0.926	0.143	0	NK_TCells	IL32	FALSE
CD3D	0	1.877922428	0.859	0.023	0	NK_TCells	CD3D	FALSE
CD2	0	1.710438568	0.858	0.042	0	NK_TCells	CD2	FALSE
CD52	0	1.479513296	0.905	0.243	0	NK_TCells	CD52	FALSE
